2.000000000000000000e+02 4.477977752685546983e-04 1.740310192108154158e-02
2.370000000000000000e+02 6.162405014038085504e-04 2.767491340637207031e-02
2.820000000000000000e+02 6.445884704589843533e-04 3.218469619750976424e-02
3.350000000000000000e+02 8.313894271850585721e-04 3.915648460388183871e-02
3.980000000000000000e+02 1.281571388244628950e-03 5.351221561431884766e-02
4.730000000000000000e+02 1.873922348022460981e-03 8.412089347839354914e-02
5.620000000000000000e+02 2.313256263732910156e-03 8.799645900726318914e-02
6.680000000000000000e+02 4.248476028442383159e-03 1.148504018783569336e-01
7.940000000000000000e+02 5.319786071777343577e-03 1.554708242416381891e-01
9.440000000000000000e+02 7.312703132629394705e-03 2.077244758605956976e-01
1.122000000000000000e+03 1.084578037261962891e-02 2.920440673828125222e-01
1.334000000000000000e+03 1.587381362915039201e-02 4.260898828506469727e-01
1.585000000000000000e+03 2.099103927612304757e-02 6.176879405975341797e-01
1.884000000000000000e+03 3.212153911590576172e-02 8.413735389709472434e-01
2.239000000000000000e+03 4.291648864746093472e-02 1.133909654617309526e+00
2.661000000000000000e+03 6.331753730773925781e-02 1.642055630683898926e+00
3.162000000000000000e+03 9.686133861541748602e-02 2.450724911689758478e+00
3.758000000000000000e+03 1.393553018569946289e-01 3.251004362106323153e+00
4.467000000000000000e+03 3.275401592254638672e-01 5.234120416641235174e+00
5.309000000000000000e+03 4.707873344421386608e-01 6.928149557113647106e+00
6.310000000000000000e+03 6.729920148849487527e-01 9.244499397277831321e+00
7.499000000000000000e+03 9.767416238784789595e-01 1.414598445892334055e+01
8.913000000000000000e+03 1.398613905906677335e+00 1.905108594894409180e+01
1.059300000000000000e+04 2.097451496124267400e+00 2.836983451843261861e+01
1.258900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
1.496200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
1.778300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
2.113500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
2.511900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
2.985400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
3.548100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
4.217000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00
