   2.0000000e+02	   5.8060000e-04	   8.8450000e-04	
   2.3700000e+02	   7.1960000e-04	   1.1739000e-03	
   2.8200000e+02	   8.4210000e-04	   1.6449000e-03	
   3.3500000e+02	   1.2314000e-03	   2.6029000e-03	
   3.9800000e+02	   1.7515000e-03	   4.4257000e-03	
   4.7300000e+02	   2.8380000e-03	   6.8018000e-03	
   5.6200000e+02	   3.5530000e-03	   9.6515000e-03	
   6.6800000e+02	   4.9605000e-03	   1.3284400e-02	
   7.9400000e+02	   6.8760000e-03	   1.9464600e-02	
   9.4400000e+02	   9.6007000e-03	   2.9330300e-02	
   1.1220000e+03	   1.3579700e-02	   3.8396700e-02	
   1.3340000e+03	   1.9652300e-02	   5.4617600e-02	
   1.5850000e+03	   2.6792400e-02	   7.4375000e-02	
   1.8840000e+03	   3.6456500e-02	   1.0830320e-01	
   2.2390000e+03	   5.5442100e-02	   1.3505350e-01	
   2.6610000e+03	   8.7274600e-02	   2.2091530e-01	
   3.1620000e+03	   1.0700480e-01	   3.1643490e-01	
   3.7580000e+03	   1.6333590e-01	   4.1903830e-01	
   4.4670000e+03	   2.2902030e-01	   5.0478440e-01	
   5.3090000e+03	   3.2114980e-01	   9.0468900e-01	
   6.3100000e+03	   4.9643660e-01	   1.2945362e+00	
   7.4990000e+03	   7.4902890e-01	   1.5183611e+00	
   8.9130000e+03	   1.1375949e+00	   2.9220558e+00	
   1.0593000e+04	   1.5420254e+00	   4.4604943e+00	
