2.000000000000000000e+02 9.444236755371093316e-04
2.380000000000000000e+02 9.444236755371093316e-04
2.830000000000000000e+02 9.400367736816406684e-04
3.360000000000000000e+02 9.632587432861327691e-04
3.990000000000000000e+02 9.475231170654296441e-04
4.740000000000000000e+02 9.775876998901367621e-04
5.640000000000000000e+02 9.751558303833007596e-04
6.700000000000000000e+02 1.008224487304687543e-03
7.960000000000000000e+02 1.021337509155273481e-03
9.460000000000000000e+02 1.111531257629394618e-03
1.125000000000000000e+03 1.125502586364746050e-03
1.337000000000000000e+03 1.210188865661621007e-03
1.589000000000000000e+03 1.277184486389160070e-03
1.888000000000000000e+03 1.427268981933593663e-03
2.244000000000000000e+03 1.590943336486816320e-03
2.667000000000000000e+03 1.860690116882324262e-03
3.170000000000000000e+03 2.229475975036621180e-03
3.767000000000000000e+03 2.805542945861816233e-03
4.477000000000000000e+03 3.412580490112304601e-03
5.321000000000000000e+03 4.417443275451659809e-03
6.325000000000000000e+03 5.801463127136230122e-03
7.517000000000000000e+03 7.894206047058104775e-03
8.934000000000000000e+03 1.060354709625244141e-02
1.061800000000000000e+04 1.460998058319091727e-02
1.261900000000000000e+04 2.031798362731933663e-02
1.499800000000000000e+04 4.378483295440673689e-02
1.782500000000000000e+04 3.886044025421142578e-02
2.118500000000000000e+04 7.554609775543212613e-02
2.517900000000000000e+04 7.593879699707031805e-02
2.992500000000000000e+04 1.071838855743408175e-01
3.556600000000000000e+04 1.518915653228759821e-01
4.227000000000000000e+04 2.275537490844726507e-01
5.023800000000000000e+04 3.010974168777466042e-01
5.970800000000000000e+04 4.324999809265136497e-01
7.096300000000000000e+04 6.049896955490112749e-01
8.433900000000000000e+04 8.559105634689331277e-01
1.002370000000000000e+05 1.214158868789672940e+00
1.191320000000000000e+05 1.699605417251586870e+00
1.415890000000000000e+05 2.389590358734130948e+00
1.682790000000000000e+05 3.362346601486206232e+00
2.000000000000000000e+05 4.757640385627746937e+00
2.377000000000000000e+05 6.727989840507507147e+00
2.825080000000000000e+05 9.489879631996155140e+00
3.357610000000000000e+05 1.338646221160888672e+01
3.990520000000000000e+05 1.890215635299682617e+01
4.742750000000000000e+05 2.668840806484222483e+01
5.636770000000000000e+05 3.772546789646148824e+01
6.699310000000000000e+05 5.328506176471709921e+01
7.962140000000000000e+05 7.521056540012359903e+01
9.463030000000000000e+05 1.062977117538452205e+02
