   2.0000000e+02	   2.7252500e-02	   8.3910000e-04	
   2.3700000e+02	   3.9599900e-02	   1.1458000e-03	
   2.8200000e+02	   5.6886200e-02	   1.6480000e-03	
   3.3500000e+02	   7.7484700e-02	   2.2541000e-03	
   3.9800000e+02	   1.1042820e-01	   3.1312000e-03	
   4.7300000e+02	   1.5977480e-01	   4.8846000e-03	
   5.6200000e+02	   2.2738940e-01	   6.7942000e-03	
   6.6800000e+02	   3.2377530e-01	   9.7561000e-03	
   7.9400000e+02	   4.6110960e-01	   1.3882500e-02	
   9.4400000e+02	   6.5027420e-01	   2.0133800e-02	
   1.1220000e+03	   9.2860260e-01	   3.1532600e-02	
   1.3340000e+03	   1.3255388e+00	   4.8164300e-02	
   1.5850000e+03	   1.8781040e+00	   7.8757400e-02	
   1.8840000e+03	   2.6635361e+00	   1.1018400e-01	
   2.2390000e+03	   3.8537849e+00	   1.3608420e-01	
   2.6610000e+03	   5.2683792e+00	   2.2137990e-01	
   3.1620000e+03	   7.7614547e+00	   3.5900250e-01	
   3.7580000e+03	   1.1143699e+01	   4.1926180e-01	
   4.4670000e+03	   1.5197511e+01	   5.2269870e-01	
   5.3090000e+03	   2.2005102e+01	   9.4570560e-01	
   6.3100000e+03	   3.0052719e+01	   1.3011262e+00	
   7.4990000e+03	   0.0000000e+00	   0.0000000e+00	
   8.9130000e+03	   0.0000000e+00	   0.0000000e+00	
   1.0593000e+04	   0.0000000e+00	   0.0000000e+00	
