2.000000000000000000e+02 3.633460998535156111e-02
2.380000000000000000e+02 3.407478332519531250e-02
2.830000000000000000e+02 2.372574806213378906e-02
3.360000000000000000e+02 3.383693695068359236e-02
3.990000000000000000e+02 3.344931602478027483e-02
4.740000000000000000e+02 3.347904682159423551e-02
5.640000000000000000e+02 3.359570503234863420e-02
6.700000000000000000e+02 3.319633007049560547e-02
7.960000000000000000e+02 3.317160606384277066e-02
9.460000000000000000e+02 3.325784206390380859e-02
1.125000000000000000e+03 3.332469463348388533e-02
1.337000000000000000e+03 3.357949256896972795e-02
1.589000000000000000e+03 3.363416194915771346e-02
1.888000000000000000e+03 3.381402492523193082e-02
2.244000000000000000e+03 3.445582389831543246e-02
2.667000000000000000e+03 3.447065353393554549e-02
3.170000000000000000e+03 3.209464550018310824e-02
3.767000000000000000e+03 3.577394485473632535e-02
4.477000000000000000e+03 3.750243186950683733e-02
5.321000000000000000e+03 3.763511180877685686e-02
6.325000000000000000e+03 3.945624828338623047e-02
7.517000000000000000e+03 4.161930084228515625e-02
8.934000000000000000e+03 4.553563594818114957e-02
1.061800000000000000e+04 5.092983245849609653e-02
1.261900000000000000e+04 5.961503982543945451e-02
1.499800000000000000e+04 6.638991832733154297e-02
1.782500000000000000e+04 8.037209510803222656e-02
2.118500000000000000e+04 1.029946088790893582e-01
2.517900000000000000e+04 1.377415657043457031e-01
2.992500000000000000e+04 1.838487386703491211e-01
3.556600000000000000e+04 2.495329856872558483e-01
4.227000000000000000e+04 3.463773965835571511e-01
5.023800000000000000e+04 4.442567586898803489e-01
5.970800000000000000e+04 6.163058996200561079e-01
7.096300000000000000e+04 8.685100078582763672e-01
8.433900000000000000e+04 1.174202489852905318e+00
1.002370000000000000e+05 1.647376346588134810e+00
1.191320000000000000e+05 2.136803150177001953e+00
1.415890000000000000e+05 2.964126515388488592e+00
1.682790000000000000e+05 3.989020180702209650e+00
2.000000000000000000e+05 6.197871828079223988e+00
2.377000000000000000e+05 8.423399066925048473e+00
2.825080000000000000e+05 1.062036316394805979e+01
3.357610000000000000e+05 1.608746535778045583e+01
3.990520000000000000e+05 2.051860051155090403e+01
4.742750000000000000e+05 2.966463472843170024e+01
