   2.0000000e+02	   4.1529184e-02	   1.0000000e+00	   2.1470588e+01	   5.2739259e-01	   9.7260274e-01	   3.2946636e+00	   5.3498054e-35	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   1.3695502e-32	   2.1912803e-31	
   2.3800000e+02	   4.2949853e-02	   9.9633700e-01	   1.9781818e+01	   5.9049052e-01	   9.7802198e-01	   4.0531309e+00	   5.3498054e-35	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   1.3695502e-32	   8.7651212e-31	
   2.8300000e+02	   3.9715730e-02	   9.9862354e-01	   1.8602564e+01	   5.6976801e-01	   9.8038541e-01	   4.1230101e+00	   5.3498054e-35	   1.3695502e-32	   1.4024194e-29	   0.0000000e+00	   0.0000000e+00	   8.7651212e-31	
   3.3600000e+02	   3.6521041e-02	   9.9843014e-01	   1.9670103e+01	   5.7648385e-01	   9.8430141e-01	   4.1615044e+00	   5.3498054e-35	   1.3695502e-32	   0.0000000e+00	   1.3695502e-32	   0.0000000e+00	   0.0000000e+00	
   3.9900000e+02	   3.3002638e-02	   9.9918864e-01	   1.9704000e+01	   5.6349469e-01	   9.7951318e-01	   4.1665229e+00	   5.3498054e-35	   5.4782007e-32	   1.4024194e-29	   1.3695502e-32	   5.4782007e-32	   8.7651212e-31	
   4.7400000e+02	   3.1279639e-02	   9.9909937e-01	   1.7608466e+01	   5.4678984e-01	   9.7418193e-01	   4.5575843e+00	   5.3498054e-35	   0.0000000e+00	   1.4024194e-29	   0.0000000e+00	   1.3695502e-32	   8.7651212e-31	
   5.6400000e+02	   3.0754360e-02	   9.9893094e-01	   1.6866426e+01	   5.2929232e-01	   9.8129143e-01	   4.9243562e+00	   0.0000000e+00	   1.3695502e-32	   1.4024194e-29	   1.3695502e-32	   1.3695502e-32	   8.7651212e-31	
   6.7000000e+02	   3.0927167e-02	   9.9895288e-01	   1.7123077e+01	   5.2602972e-01	   9.8384443e-01	   4.8863299e+00	   0.0000000e+00	   1.3695502e-32	   0.0000000e+00	   1.3695502e-32	   5.4782007e-32	   8.7651212e-31	
   7.9600000e+02	   3.3375036e-02	   9.9941429e-01	   1.8184725e+01	   5.2545503e-01	   9.8750488e-01	   5.2117465e+00	   5.3498054e-35	   1.3695502e-32	   1.4024194e-29	   0.0000000e+00	   5.4782007e-32	   8.7651212e-31	
   9.4600000e+02	   3.3852714e-02	   9.9952542e-01	   1.8756997e+01	   5.1940673e-01	   9.8962712e-01	   5.1937378e+00	   5.3498054e-35	   5.4782007e-32	   1.4024194e-29	   1.3695502e-32	   1.3695502e-32	   8.7651212e-31	
   1.1250000e+03	   3.3047955e-02	   9.9926654e-01	   1.8295434e+01	   5.1273929e-01	   9.9014718e-01	   5.4639773e+00	   0.0000000e+00	   5.4782007e-32	   0.0000000e+00	   1.3695502e-32	   5.4782007e-32	   8.7651212e-31	
