200, 0.00021395683288574218, 0.0004973411560058594, 0.0007112979888916016
238, 0.00029864311218261717, 0.0004887819290161133, 0.0007874250411987304
283, 0.0003472566604614258, 0.0006697416305541992, 0.001016998291015625
336, 0.0005903005599975586, 0.0009402275085449219, 0.0015305280685424805
399, 0.0007445812225341797, 0.0013133525848388673, 0.002057933807373047
474, 0.0011105060577392579, 0.0018530607223510743, 0.002963566780090332
564, 0.0015230655670166015, 0.0026131153106689455, 0.004136180877685547
670, 0.0017364501953125, 0.0036852121353149413, 0.005421662330627441
796, 0.002621579170227051, 0.005222010612487793, 0.007843589782714844
946, 0.003752470016479492, 0.0073860883712768555, 0.011138558387756348
1125, 0.004859375953674317, 0.010443735122680663, 0.015303111076354979
1337, 0.0065516471862792965, 0.014767837524414063, 0.021319484710693358
1589, 0.00877523422241211, 0.02091360092163086, 0.02968883514404297
1888, 0.011723542213439941, 0.029602670669555665, 0.04132621288299561
2244, 0.016277599334716796, 0.04208543300628662, 0.058363032341003415
2667, 0.025041580200195312, 0.05915310382843018, 0.08419468402862548
3170, 0.034391379356384276, 0.08366281986236572, 0.11805419921874999
3767, 0.05073137283325195, 0.11856741905212402, 0.16929879188537597
4477, 0.07242815494537354, 0.1691464900970459, 0.24157464504241943
5321, 0.10250844955444335, 0.23909945487976075, 0.3416079044342041
6325, 0.14563751220703125, 0.339878511428833, 0.48551602363586427
7517, 0.20692837238311768, 0.47965989112854, 0.6865882635116577
8934, 0.28100147247314455, 0.6649791479110718, 0.9459806203842164
10618, 0.40006165504455565, 0.9396957397460938, 1.3397573947906494
12619, 0.5815447330474853, 1.3270472764968873, 1.9085920095443725
14998, 0.802553915977478, 1.8765554189682008, 2.6791093349456787
17825, 1.1571532487869263, 2.6746246337890627, 3.831777882575989
21185, 1.8467986106872558, 3.7834669589996337, 5.630265569686889
25179, 2.330336356163025, 5.330953145027161, 7.661289501190186
29925, 3.272650623321533, 7.496788167953492, 10.769438791275025
35566, 4.521774816513061, 10.503337502479553, 15.025112318992615
42270, 7.060014033317566, 14.977528309822082, 22.03754234313965
50238, 9.624661660194397, 20.636002683639525, 30.260664343833923
