200, 0.04152918420753215, 1.0, 21.470588235294116, 2.7616606779194828, 0.9726027397260275, 3.2946635730858462, 5.349805401075655e-35, 0.0, 0.0, 2.1912802922805884e-31, 1.3695501826753678e-32, 2.1912802922805884e-31
238, 0.04294985250737464, 0.9963369963369964, 19.78181818181818, 3.167627084753456, 0.9780219780219779, 4.053130929791272, 5.349805401075655e-35, 0.0, 0.0, 0.0, 1.3695501826753678e-32, 8.765121169122354e-31
283, 0.03971573049063825, 0.998623537508603, 18.6025641025641, 3.1538474563965977, 0.9803854094975912, 4.123010130246021, 5.349805401075655e-35, 5.478200730701471e-32, 1.4024193870595766e-29, 0.0, 5.478200730701471e-32, 8.765121169122354e-31
336, 0.03652104116500401, 0.9984301412872842, 19.670103092783506, 3.296663026355624, 0.9843014128728415, 4.161504424778761, 5.349805401075655e-35, 1.3695501826753678e-32, 0.0, 0.0, 0.0, 0.0
399, 0.03300263753330389, 0.999188640973631, 19.704000000000004, 3.328971320188063, 0.9795131845841782, 4.166522864538394, 5.349805401075655e-35, 5.478200730701471e-32, 1.4024193870595766e-29, 0.0, 5.478200730701471e-32, 8.765121169122354e-31
474, 0.0312796386549098, 0.999099369558691, 17.60846560846561, 3.3263540172793853, 0.9741819273491445, 4.5575842696629225, 5.349805401075655e-35, 0.0, 1.4024193870595766e-29, 0.0, 1.3695501826753678e-32, 8.765121169122354e-31
564, 0.030754359662274126, 0.9989309386358778, 16.86642599277979, 3.311354403543567, 0.9812914261278596, 4.924356223175965, 0.0, 1.3695501826753678e-32, 1.4024193870595766e-29, 8.765121169122354e-31, 1.3695501826753678e-32, 8.765121169122354e-31
670, 0.030927167330548268, 0.9989528795811518, 17.123076923076923, 3.3845159625494494, 0.9838444278234852, 4.88632986627043, 0.0, 1.3695501826753678e-32, 0.0, 0.0, 5.478200730701471e-32, 8.765121169122354e-31
796, 0.03337503583809003, 0.999414291292464, 18.18472468916519, 3.4800534512336503, 0.9875048809058959, 5.2117465224111275, 5.349805401075655e-35, 1.3695501826753678e-32, 1.4024193870595766e-29, 0.0, 5.478200730701471e-32, 8.765121169122354e-31
946, 0.03385271429915702, 0.9995254237288138, 18.756997455470742, 3.5331175320088297, 0.9896271186440677, 5.1937377690802355, 5.349805401075655e-35, 5.478200730701471e-32, 1.4024193870595766e-29, 0.0, 1.3695501826753678e-32, 8.765121169122354e-31
1125, 0.03304795516686381, 0.999266539533519, 18.295434198746644, 3.573669817332486, 0.9901471810669407, 5.4639773340528865, 0.0, 5.478200730701471e-32, 0.0, 2.1912802922805884e-31, 5.478200730701471e-32, 8.765121169122354e-31
1337, 0.03334321381747706, 0.999316169179745, 18.568614993646758, 3.5879963665521117, 0.9908537627790885, 5.733405875952122, 5.349805401075655e-35, 0.0, 1.4024193870595766e-29, 0.0, 1.3695501826753678e-32, 0.0
1589, 0.03349062828927251, 0.9990629054735931, 18.754623364907534, 3.5980608848524644, 0.9920587245903215, 6.087805956944854, 5.349805401075655e-35, 0.0, 0.0, 8.765121169122354e-31, 0.0, 0.0
1888, 0.03376716417910448, 0.9991580790732135, 19.48702791461412, 3.6431363147396163, 0.9928605105408501, 5.95145092101943, 0.0, 1.3695501826753678e-32, 0.0, 0.0, 1.3695501826753678e-32, 0.0
2244, 0.032472138279602034, 0.9990352385310887, 18.49576368216167, 3.5951288446499303, 0.99281994829868, 6.039766741911211, 5.349805401075655e-35, 0.0, 1.4024193870595766e-29, 0.0, 0.0, 8.765121169122354e-31
