   2.0000000e+02	   1.7907720e-01	   4.1036900e-02	
   2.3800000e+02	   5.6762000e-03	   1.2653600e-02	
   2.8300000e+02	   5.6300000e-03	   1.3015600e-02	
   3.3600000e+02	   5.5271000e-03	   1.5459500e-02	
   3.9900000e+02	   6.4235000e-03	   1.9630600e-02	
   4.7400000e+02	   8.5630000e-03	   2.7793700e-02	
   5.6400000e+02	   9.6999000e-03	   3.6735500e-02	
   6.7000000e+02	   1.1835000e-02	   4.9015500e-02	
   7.9600000e+02	   1.2462500e-02	   6.1502700e-02	
   9.4600000e+02	   1.4381000e-02	   7.0211700e-02	
   1.1250000e+03	   1.6634100e-02	   8.8145600e-02	
   1.3370000e+03	   2.0162000e-02	   1.0405320e-01	
   1.5890000e+03	   1.9093200e-02	   1.3018610e-01	
   1.8880000e+03	   2.2326200e-02	   1.9117720e-01	
   2.2440000e+03	   2.3431100e-02	   2.6420830e-01	
   2.6670000e+03	   2.5163800e-02	   3.8690670e-01	
   3.1700000e+03	   3.4041500e-02	   5.5271280e-01	
   3.7670000e+03	   3.3279100e-02	   8.3663090e-01	
   4.4770000e+03	   4.7891400e-02	   1.0945872e+00	
   5.3210000e+03	   5.8432900e-02	   1.8078341e+00	
   6.3250000e+03	   6.1890500e-02	   2.2267311e+00	
   7.5170000e+03	   8.5077800e-02	   3.6983930e+00	
   8.9340000e+03	   1.0324810e-01	   5.3842632e+00	
   1.0618000e+04	   1.3320770e-01	   7.5072613e+00	
   1.2619000e+04	   1.7779580e-01	   1.1257101e+01	
   1.4998000e+04	   1.6143720e-01	   1.6334301e+01	
   1.7825000e+04	   2.4504590e-01	   2.6797572e+01	
   2.1185000e+04	   3.2032400e-01	   3.7848015e+01	
   2.5179000e+04	   4.6583520e-01	   6.1906061e+01	
   2.9925000e+04	   5.4427880e-01	   8.9820928e+01	
   3.5566000e+04	   7.9461450e-01	   1.4775346e+02	
   4.2270000e+04	   1.0598381e+00	   2.3233730e+02	
   5.0238000e+04	   1.3576621e+00	   3.5131785e+02	
   5.9708000e+04	   1.9122050e+00	   5.6429437e+02	
   7.0963000e+04	   2.7738942e+00	   8.9795779e+02	
   8.4339000e+04	   3.8795529e+00	   1.5372651e+03	
   1.0023700e+05	   0.0000000e+00	   0.0000000e+00	
   1.1913200e+05	   0.0000000e+00	   0.0000000e+00	
   1.4158900e+05	   0.0000000e+00	   0.0000000e+00	
   1.6827900e+05	   0.0000000e+00	   0.0000000e+00	
   2.0000000e+05	   0.0000000e+00	   0.0000000e+00	
